count,state,sex,work_status,exercise
134,Nevada,female,all,21
186,Nevada,male,working,25
238,Nevada,female,working,22
290,Nevada,male,non_working,22
342,Nevada,female,non_working,19
31,New Hampshire,both,total,30
83,New Hampshire,male,all,30
135,New Hampshire,female,all,31
187,New Hampshire,male,working,30
239,New Hampshire,female,working,32
291,New Hampshire,male,non_working,29
343,New Hampshire,female,non_working,28
32,New Jersey,both,total,21
84,New Jersey,male,all,25
136,New Jersey,female,all,16
188,New Jersey,male,working,27
240,New Jersey,female,working,16
292,New Jersey,male,non_working,17
344,New Jersey,female,non_working,13
33,New Mexico,both,total,23
85,New Mexico,male,all,27
137,New Mexico,female,all,18
189,New Mexico,male,working,29
241,New Mexico,female,working,21
293,New Mexico,male,non_working,19
345,New Mexico,female,non_working,14
34,New York,both,total,18
86,New York,male,all,22
138,New York,female,all,15
190,New York,male,working,25
242,New York,female,working,17
294,New York,male,non_working,15
346,New York,female,non_working,11
35,North Carolina,both,total,22
87,North Carolina,male,all,26
139,North Carolina,female,all,19
191,North Carolina,male,working,27
243,North Carolina,female,working,19
295,North Carolina,male,non_working,19
347,North Carolina,female,non_working,17
36,North Dakota,both,total,20
88,North Dakota,male,all,21
140,North Dakota,female,all,18
192,North Dakota,male,working,22
244,North Dakota,female,working,20
296,North Dakota,male,non_working,NA
348,North Dakota,female,non_working,NA
37,Ohio,both,total,23
89,Ohio,male,all,29
141,Ohio,female,all,18
193,Ohio,male,working,31
245,Ohio,female,working,21
297,Ohio,male,non_working,24
349,Ohio,female,non_working,13
38,Oklahoma,both,total,19
90,Oklahoma,male,all,24
142,Oklahoma,female,all,14
194,Oklahoma,male,working,24
246,Oklahoma,female,working,14
298,Oklahoma,male,non_working,21
350,Oklahoma,female,non_working,14
39,Oregon,both,total,25
91,Oregon,male,all,28
143,Oregon,female,all,22
195,Oregon,male,working,30
247,Oregon,female,working,26
299,Oregon,male,non_working,21
351,Oregon,female,non_working,15
40,Pennsylvania,both,total,25
92,Pennsylvania,male,all,29
144,Pennsylvania,female,all,21
196,Pennsylvania,male,working,31
248,Pennsylvania,female,working,23
300,Pennsylvania,male,non_working,19
352,Pennsylvania,female,non_working,18
41,Rhode Island,both,total,25
93,Rhode Island,male,all,30
145,Rhode Island,female,all,21
197,Rhode Island,male,working,32
249,Rhode Island,female,working,26
301,Rhode Island,male,non_working,22
353,Rhode Island,female,non_working,12
42,South Carolina,both,total,14
94,South Carolina,male,all,20
146,South Carolina,female,all,10
198,South Carolina,male,working,21
250,South Carolina,female,working,12
302,South Carolina,male,non_working,12
354,South Carolina,female,non_working,6
43,South Dakota,both,total,17
95,South Dakota,male,all,17
147,South Dakota,female,all,15
199,South Dakota,male,working,17
251,South Dakota,female,working,16
303,South Dakota,male,non_working,28
355,South Dakota,female,non_working,NA
1,state_average,both,total,22
53,state_average,male,all,27
105,state_average,female,all,18
157,state_average,male,working,28
209,state_average,female,working,20
261,state_average,male,non_working,21
313,state_average,female,non_working,14
44,Tennessee,both,total,17
96,Tennessee,male,all,20
148,Tennessee,female,all,14
200,Tennessee,male,working,22
252,Tennessee,female,working,15
304,Tennessee,male,non_working,10
356,Tennessee,female,non_working,12
45,Texas,both,total,23
97,Texas,male,all,28
149,Texas,female,all,19
201,Texas,male,working,28
253,Texas,female,working,21
305,Texas,male,non_working,25
357,Texas,female,non_working,14
46,Utah,both,total,28
98,Utah,male,all,29
150,Utah,female,all,27
202,Utah,male,working,30
254,Utah,female,working,26
306,Utah,male,non_working,22
358,Utah,female,non_working,27
47,Vermont,both,total,29
99,Vermont,male,all,35
151,Vermont,female,all,23
203,Vermont,male,working,40
255,Vermont,female,working,26
307,Vermont,male,non_working,21
359,Vermont,female,non_working,15
48,Virginia,both,total,24
100,Virginia,male,all,29
152,Virginia,female,all,19
204,Virginia,male,working,32
256,Virginia,female,working,20
308,Virginia,male,non_working,16
360,Virginia,female,non_working,16
49,Washington,both,total,28
101,Washington,male,all,31
153,Washington,female,all,26
205,Washington,male,working,33
257,Washington,female,working,29
309,Washington,male,non_working,25
361,Washington,female,non_working,20
50,West Virginia,both,total,16
102,West Virginia,male,all,19
154,West Virginia,female,all,14
206,West Virginia,male,working,21
258,West Virginia,female,working,18
310,West Virginia,male,non_working,14
362,West Virginia,female,non_working,8
51,Wisconsin,both,total,23
103,Wisconsin,male,all,26
155,Wisconsin,female,all,21
207,Wisconsin,male,working,27
259,Wisconsin,female,working,23
311,Wisconsin,male,non_working,21
363,Wisconsin,female,non_working,14
52,Wyoming,both,total,27
104,Wyoming,male,all,29
156,Wyoming,female,all,24
208,Wyoming,male,working,31
260,Wyoming,female,working,29
312,Wyoming,male,non_working,17
364,Wyoming,female,non_working,13

